Date,Open,High,Low,Close,Pre Settle,Settle,Volume,Open Interest,Turnover
2020-06-18,730.5,735.0,720.0,726.0,734.0,727.5,3422.0,9990.0,249112.0
2020-06-17,740.5,745.5,725.5,727.5,732.5,734.0,3841.0,10086.0,282076.95
2020-06-16,726.5,743.0,722.0,740.5,730.5,732.5,3909.0,8909.0,286416.1
2020-06-15,735.0,741.5,717.5,723.0,721.0,730.5,5193.0,7680.0,379379.35
2020-06-12,721.5,734.0,705.0,734.0,723.5,721.0,2864.0,7737.0,206515.65
2020-06-11,720.5,731.0,715.5,719.5,726.0,723.5,2982.0,7707.0,215814.8
2020-06-10,728.5,733.5,715.0,719.5,731.5,726.0,1428.0,7471.0,103739.1
2020-06-09,740.5,740.5,725.0,730.5,739.0,731.5,2356.0,7373.0,172360.7
2020-06-08,714.0,755.0,712.5,742.5,706.5,739.0,2192.0,7216.0,162033.7
2020-06-05,707.0,713.0,699.0,709.5,718.0,706.5,3396.0,7266.0,239994.0
2020-06-04,717.0,733.0,701.0,702.5,717.0,718.0,4753.0,6433.0,341384.6
2020-06-03,715.5,722.5,710.0,718.0,715.5,717.0,5183.0,5593.0,371697.0
2020-06-02,719.0,727.0,701.5,720.5,719.0,715.5,5430.0,5197.0,388674.8
2020-06-01,709.5,733.5,706.0,714.0,692.0,719.0,2695.0,2732.0,193778.45
2020-05-29,670.5,715.5,670.5,715.5,670.5,692.0,379.0,2436.0,26244.95
2020-05-28,669.0,676.0,665.0,675.0,659.5,670.5,194.0,2452.0,13014.6
2020-05-27,659.5,670.5,653.0,670.5,668.0,659.5,238.0,2383.0,15700.8
2020-05-26,679.5,681.5,660.0,664.5,681.5,668.0,193.0,2425.0,12896.5
2020-05-25,682.0,686.5,672.0,680.5,687.0,681.5,299.0,2393.0,20387.35
2020-05-22,674.0,696.0,674.0,675.5,674.0,687.0,476.0,2585.0,32715.1
2020-05-21,670.5,687.5,670.5,687.5,674.5,674.0,255.0,2677.0,17194.6
